Sample	Taxonomy	Count
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(0.99),c:Gammaproteobacteria(0.99),o:Burkholderiales(0.99),f:Comamonadaceae(0.99),g:Comamonas(0.80),s:uncultured bacterium(0.80)	78
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Enterobacterales(1.00),f:Aeromonadaceae(0.96),g:Tolumonas(0.85),s:uncultured gamma proteobacterium(0.84)	78
FrozenWWsample	k:Bacteria(1.00),p:Campylobacterota(1.00),c:Campylobacteria(1.00),o:Campylobacterales(1.00),f:Arcobacteraceae(0.80),g:Pseudarcobacter(0.76),s:uncultured bacterium(0.27)	77
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Bacilli(1.00),o:Acholeplasmatales(1.00),f:Acholeplasmataceae(1.00),g:Acholeplasma(0.99),s:uncultured bacterium(0.86)	77
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(0.99),c:Bacilli(0.90),o:Lactobacillales(0.78),f:Aerococcaceae(0.78),g:Abiotrophia(0.78),s:uncultured bacterium(0.34)	75
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Lachnospirales(1.00),f:Lachnospiraceae(1.00),g:Anaerostipes(1.00),s:uncultured bacterium(1.00)	75
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Bacteroides(1.00),s:Bacteroides sp. CannelCatfish9(0.12)	74
FrozenWWsample	k:Bacteria(1.00),p:Campylobacterota(0.92),c:Campylobacteria(0.92),o:Campylobacterales(0.92),f:Arcobacteraceae(0.92),g:uncultured(0.87),s:uncultured bacterium(0.61)	74
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Lachnospirales(1.00),f:Lachnospiraceae(1.00),g:Lachnospiraceae UCG-008(0.47),s:uncultured bacterium(1.00)	74
FrozenWWsample	k:Bacteria(1.00),p:Desulfobacterota(1.00),c:Desulfobulbia(1.00),o:Desulfobulbales(1.00),f:Desulfobulbaceae(1.00),g:Desulfobulbus(1.00),s:uncultured bacterium(0.88)	73
